time,left_x,left_y,left_z,right_x,right_y,right_z
1.040,0.22331,0.00000,0.76640,-0.22331,0.00000,0.76640
1.060,0.22404,0.00000,0.76704,-0.22404,0.00000,0.76704
1.080,0.22477,0.00000,0.76766,-0.22477,0.00000,0.76766
1.100,0.22550,0.00000,0.76828,-0.22550,0.00000,0.76828
1.120,0.22622,0.00000,0.76887,-0.22622,0.00000,0.76887
1.140,0.22694,0.00000,0.76946,-0.22694,0.00000,0.76946
1.160,0.22765,0.00000,0.77003,-0.22765,0.00000,0.77003
1.180,0.22835,0.00000,0.77059,-0.22835,0.00000,0.77059
1.200,0.22905,0.00000,0.77113,-0.22905,0.00000,0.77113
1.220,0.22974,0.00000,0.77165,-0.22974,0.00000,0.77165
1.240,0.23043,0.00000,0.77216,-0.23043,0.00000,0.77216
1.260,0.23111,0.00000,0.77266,-0.23111,0.00000,0.77266
1.280,0.23178,0.00000,0.77314,-0.23178,0.00000,0.77314
1.300,0.23245,0.00000,0.77361,-0.23245,0.00000,0.77361
1.320,0.23311,0.00000,0.77406,-0.23311,0.00000,0.77406
1.340,0.23377,0.00000,0.77449,-0.23377,0.00000,0.77449
1.360,0.23441,0.00000,0.77491,-0.23441,0.00000,0.77491
1.380,0.23506,0.00000,0.77532,-0.23506,0.00000,0.77532
1.400,0.23569,0.00000,0.77570,-0.23569,0.00000,0.77570
1.420,0.23632,0.00000,0.77607,-0.23632,0.00000,0.77607
1.440,0.23694,0.00000,0.77643,-0.23694,0.00000,0.77643
1.460,0.23756,0.00000,0.77677,-0.23756,0.00000,0.77677
1.480,0.23816,0.00000,0.77709,-0.23816,0.00000,0.77709
1.500,0.23876,0.00000,0.77739,-0.23876,0.00000,0.77739
1.520,0.23936,0.00000,0.77768,-0.23936,0.00000,0.77768
1.540,0.23994,0.00000,0.77796,-0.23994,0.00000,0.77796
1.560,0.24052,0.00000,0.77821,-0.24052,0.00000,0.77821
1.580,0.24109,0.00000,0.77845,-0.24109,0.00000,0.77845
1.600,0.24166,0.00000,0.77867,-0.24166,0.00000,0.77867
1.620,0.24222,0.00000,0.77888,-0.24222,0.00000,0.77888
1.640,0.24277,0.00000,0.77906,-0.24277,0.00000,0.77906
1.660,0.24331,0.00000,0.77924,-0.24331,0.00000,0.77924
1.680,0.24384,0.00000,0.77939,-0.24384,0.00000,0.77939
1.700,0.24437,0.00000,0.77953,-0.24437,0.00000,0.77953
1.720,0.24489,0.00000,0.77965,-0.24489,0.00000,0.77965
1.740,0.24540,0.00000,0.77975,-0.24540,0.00000,0.77975
1.760,0.24590,0.00000,0.77983,-0.24590,0.00000,0.77983
1.780,0.24640,0.00000,0.77990,-0.24640,0.00000,0.77990
1.800,0.24688,0.00000,0.77995,-0.24688,0.00000,0.77995
1.820,0.24736,0.00000,0.77998,-0.24736,0.00000,0.77998
1.840,0.24783,0.00000,0.78000,-0.24783,0.00000,0.78000
1.860,0.24829,0.00000,0.78000,-0.24829,0.00000,0.78000
1.880,0.24875,0.00000,0.77998,-0.24875,0.00000,0.77998
1.900,0.24919,0.00000,0.77994,-0.24919,0.00000,0.77994
1.920,0.24963,0.00000,0.77989,-0.24963,0.00000,0.77989
1.940,0.25006,0.00000,0.77982,-0.25006,0.00000,0.77982
1.960,0.25048,0.00000,0.77973,-0.25048,0.00000,0.77973
1.980,0.25089,0.00000,0.77962,-0.25089,0.00000,0.77962
2.000,0.25130,0.00000,0.77950,-0.25130,0.00000,0.77950
2.020,0.25169,0.00000,0.77936,-0.25169,0.00000,0.77936
2.040,0.25208,0.00000,0.77920,-0.25208,0.00000,0.77920
2.060,0.25246,0.00000,0.77903,-0.25246,0.00000,0.77903
2.080,0.25282,0.00000,0.77884,-0.25282,0.00000,0.77884
2.100,0.25318,0.00000,0.77863,-0.25318,0.00000,0.77863
2.120,0.25353,0.00000,0.77840,-0.25353,0.00000,0.77840
2.140,0.25388,0.00000,0.77816,-0.25388,0.00000,0.77816
2.160,0.25421,0.00000,0.77790,-0.25421,0.00000,0.77790
2.180,0.25453,0.00000,0.77763,-0.25453,0.00000,0.77763
2.200,0.25485,0.00000,0.77733,-0.25485,0.00000,0.77733
2.220,0.25516,0.00000,0.77703,-0.25516,0.00000,0.77703
2.240,0.25545,0.00000,0.77670,-0.25545,0.00000,0.77670
2.260,0.25574,0.00000,0.77636,-0.25574,0.00000,0.77636
2.280,0.25602,0.00000,0.77600,-0.25602,0.00000,0.77600
2.300,0.25629,0.00000,0.77563,-0.25629,0.00000,0.77563
2.320,0.25655,0.00000,0.77524,-0.25655,0.00000,0.77524
2.340,0.25680,0.00000,0.77483,-0.25680,0.00000,0.77483
2.360,0.25704,0.00000,0.77441,-0.25704,0.00000,0.77441
2.380,0.25727,0.00000,0.77397,-0.25727,0.00000,0.77397
2.400,0.25750,0.00000,0.77352,-0.25750,0.00000,0.77352
2.420,0.25771,0.00000,0.77305,-0.25771,0.00000,0.77305
2.440,0.25792,0.00000,0.77256,-0.25792,0.00000,0.77256
2.460,0.25811,0.00000,0.77206,-0.25811,0.00000,0.77206
2.480,0.25830,0.00000,0.77155,-0.25830,0.00000,0.77155
2.500,0.25847,0.00000,0.77102,-0.25847,0.00000,0.77102
2.520,0.25864,0.00000,0.77048,-0.25864,0.00000,0.77048
2.540,0.25879,0.00000,0.76992,-0.25879,0.00000,0.76992
2.560,0.25894,0.00000,0.76934,-0.25894,0.00000,0.76934
2.580,0.25908,0.00000,0.76876,-0.25908,0.00000,0.76876
2.600,0.25921,0.00000,0.76815,-0.25921,0.00000,0.76815
2.620,0.25933,0.00000,0.76754,-0.25933,0.00000,0.76754
2.640,0.25944,0.00000,0.76691,-0.25944,0.00000,0.76691
2.660,0.25954,0.00000,0.76627,-0.25954,0.00000,0.76627
2.680,0.25963,0.00000,0.76561,-0.25963,0.00000,0.76561
2.700,0.25971,0.00000,0.76494,-0.25971,0.00000,0.76494
2.720,0.25978,0.00000,0.76426,-0.25978,0.00000,0.76426
2.740,0.25984,0.00000,0.76356,-0.25984,0.00000,0.76356
2.760,0.25989,0.00000,0.76286,-0.25989,0.00000,0.76286
2.780,0.25993,0.00000,0.76214,-0.25993,0.00000,0.76214
2.800,0.25996,0.00000,0.76140,-0.25996,0.00000,0.76140
2.820,0.25998,0.00000,0.76066,-0.25998,0.00000,0.76066
2.840,0.26000,0.00000,0.75990,-0.26000,0.00000,0.75990
2.860,0.26000,0.00000,0.75914,-0.26000,0.00000,0.75914
2.880,0.25999,0.00000,0.75836,-0.25999,0.00000,0.75836
2.900,0.25998,0.00000,0.75757,-0.25998,0.00000,0.75757
2.920,0.25995,0.00000,0.75677,-0.25995,0.00000,0.75677
2.940,0.25991,0.00000,0.75596,-0.25991,0.00000,0.75596
2.960,0.25987,0.00000,0.75513,-0.25987,0.00000,0.75513
2.980,0.25981,0.00000,0.75430,-0.25981,0.00000,0.75430
3.000,0.25975,0.00000,0.75346,-0.25975,0.00000,0.75346
3.020,0.25967,0.00000,0.75261,-0.25967,0.00000,0.75261
3.040,0.25959,0.00000,0.75175,-0.25959,0.00000,0.75175
3.060,0.25950,0.00000,0.75088,-0.25950,0.00000,0.75088
3.080,0.25939,0.00000,0.75000,-0.25939,0.00000,0.75000
3.100,0.25928,0.00000,0.74911,-0.25928,0.00000,0.74911
3.120,0.25916,0.00000,0.74822,-0.25916,0.00000,0.74822
3.140,0.25903,0.00000,0.74731,-0.25903,0.00000,0.74731
3.160,0.25888,0.00000,0.74640,-0.25888,0.00000,0.74640
3.180,0.25873,0.00000,0.74548,-0.25873,0.00000,0.74548
3.200,0.25857,0.00000,0.74455,-0.25857,0.00000,0.74455
3.220,0.25840,0.00000,0.74362,-0.25840,0.00000,0.74362
3.240,0.25822,0.00000,0.74268,-0.25822,0.00000,0.74268
3.260,0.25803,0.00000,0.74173,-0.25803,0.00000,0.74173
3.280,0.25783,0.00000,0.74078,-0.25783,0.00000,0.74078
3.300,0.25763,0.00000,0.73982,-0.25763,0.00000,0.73982
3.320,0.25741,0.00000,0.73885,-0.25741,0.00000,0.73885
3.340,0.25718,0.00000,0.73788,-0.25718,0.00000,0.73788
3.360,0.25695,0.00000,0.73690,-0.25695,0.00000,0.73690
3.380,0.25670,0.00000,0.73592,-0.25670,0.00000,0.73592
3.400,0.25645,0.00000,0.73494,-0.25645,0.00000,0.73494
3.420,0.25618,0.00000,0.73395,-0.25618,0.00000,0.73395
3.440,0.25591,0.00000,0.73295,-0.25591,0.00000,0.73295
3.460,0.25563,0.00000,0.73196,-0.25563,0.00000,0.73196
3.480,0.25533,0.00000,0.73095,-0.25533,0.00000,0.73095
3.500,0.25503,0.00000,0.72995,-0.25503,0.00000,0.72995
3.520,0.25472,0.00000,0.72894,-0.25472,0.00000,0.72894
3.540,0.25441,0.00000,0.72793,-0.25441,0.00000,0.72793
3.560,0.25408,0.00000,0.72692,-0.25408,0.00000,0.72692
3.580,0.25374,0.00000,0.72591,-0.25374,0.00000,0.72591
3.600,0.25340,0.00000,0.72489,-0.25340,0.00000,0.72489
3.620,0.25304,0.00000,0.72387,-0.25304,0.00000,0.72387
3.640,0.25268,0.00000,0.72285,-0.25268,0.00000,0.72285
3.660,0.25230,0.00000,0.72184,-0.25230,0.00000,0.72184
3.680,0.25192,0.00000,0.72082,-0.25192,0.00000,0.72082
3.700,0.25153,0.00000,0.71980,-0.25153,0.00000,0.71980
3.720,0.25114,0.00000,0.71878,-0.25114,0.00000,0.71878
3.740,0.25073,0.00000,0.71776,-0.25073,0.00000,0.71776
3.760,0.25031,0.00000,0.71674,-0.25031,0.00000,0.71674
3.780,0.24989,0.00000,0.71572,-0.24989,0.00000,0.71572
3.800,0.24946,0.00000,0.71470,-0.24946,0.00000,0.71470
3.820,0.24902,0.00000,0.71369,-0.24902,0.00000,0.71369
3.840,0.24857,0.00000,0.71267,-0.24857,0.00000,0.71267
3.860,0.24811,0.00000,0.71166,-0.24811,0.00000,0.71166
3.880,0.24764,0.00000,0.71065,-0.24764,0.00000,0.71065
3.900,0.24717,0.00000,0.70965,-0.24717,0.00000,0.70965
3.920,0.24669,0.00000,0.70864,-0.24669,0.00000,0.70864
3.940,0.24620,0.00000,0.70764,-0.24620,0.00000,0.70764
3.960,0.24570,0.00000,0.70665,-0.24570,0.00000,0.70665
3.980,0.24519,0.00000,0.70566,-0.24519,0.00000,0.70566
4.000,0.24468,0.00000,0.70467,-0.24468,0.00000,0.70467
4.020,0.24416,0.00000,0.70368,-0.24416,0.00000,0.70368
4.040,0.24363,0.00000,0.70270,-0.24363,0.00000,0.70270
4.060,0.24309,0.00000,0.70173,-0.24309,0.00000,0.70173
4.080,0.24255,0.00000,0.70076,-0.24255,0.00000,0.70076
4.100,0.24199,0.00000,0.69980,-0.24199,0.00000,0.69980
4.120,0.24143,0.00000,0.69884,-0.24143,0.00000,0.69884
4.140,0.24087,0.00000,0.69789,-0.24087,0.00000,0.69789
4.160,0.24029,0.00000,0.69694,-0.24029,0.00000,0.69694
4.180,0.23971,0.00000,0.69601,-0.23971,0.00000,0.69601
4.200,0.23912,0.00000,0.69507,-0.23912,0.00000,0.69507
4.220,0.23852,0.00000,0.69415,-0.23852,0.00000,0.69415
4.240,0.23792,0.00000,0.69323,-0.23792,0.00000,0.69323
4.260,0.23731,0.00000,0.69232,-0.23731,0.00000,0.69232
4.280,0.23669,0.00000,0.69142,-0.23669,0.00000,0.69142
4.300,0.23607,0.00000,0.69053,-0.23607,0.00000,0.69053
4.320,0.23544,0.00000,0.68965,-0.23544,0.00000,0.68965
4.340,0.23480,0.00000,0.68877,-0.23480,0.00000,0.68877
4.360,0.23415,0.00000,0.68791,-0.23415,0.00000,0.68791
4.380,0.23350,0.00000,0.68705,-0.23350,0.00000,0.68705
4.400,0.23285,0.00000,0.68620,-0.23285,0.00000,0.68620
4.420,0.23218,0.00000,0.68536,-0.23218,0.00000,0.68536
4.440,0.23151,0.00000,0.68453,-0.23151,0.00000,0.68453
4.460,0.23084,0.00000,0.68372,-0.23084,0.00000,0.68372
4.480,0.23015,0.00000,0.68291,-0.23015,0.00000,0.68291
4.500,0.22946,0.00000,0.68211,-0.22946,0.00000,0.68211
4.520,0.22877,0.00000,0.68133,-0.22877,0.00000,0.68133
4.540,0.22807,0.00000,0.68055,-0.22807,0.00000,0.68055
4.560,0.22736,0.00000,0.67979,-0.22736,0.00000,0.67979
4.580,0.22665,0.00000,0.67904,-0.22665,0.00000,0.67904
4.600,0.22593,0.00000,0.67830,-0.22593,0.00000,0.67830
4.620,0.22521,0.00000,0.67757,-0.22521,0.00000,0.67757
4.640,0.22448,0.00000,0.67686,-0.22448,0.00000,0.67686
4.660,0.22375,0.00000,0.67616,-0.22375,0.00000,0.67616
4.680,0.22301,0.00000,0.67547,-0.22301,0.00000,0.67547
4.700,0.22226,0.00000,0.67479,-0.22226,0.00000,0.67479
4.720,0.22151,0.00000,0.67412,-0.22151,0.00000,0.67412
4.740,0.22076,0.00000,0.67347,-0.22076,0.00000,0.67347
4.760,0.22000,0.00000,0.67284,-0.22000,0.00000,0.67284
4.780,0.21924,0.00000,0.67221,-0.21924,0.00000,0.67221
4.800,0.21847,0.00000,0.67160,-0.21847,0.00000,0.67160
4.820,0.21769,0.00000,0.67101,-0.21769,0.00000,0.67101
4.840,0.21691,0.00000,0.67043,-0.21691,0.00000,0.67043
4.860,0.21613,0.00000,0.66986,-0.21613,0.00000,0.66986
4.880,0.21534,0.00000,0.66931,-0.21534,0.00000,0.66931
4.900,0.21455,0.00000,0.66877,-0.21455,0.00000,0.66877
4.920,0.21376,0.00000,0.66824,-0.21376,0.00000,0.66824
4.940,0.21296,0.00000,0.66773,-0.21296,0.00000,0.66773
4.960,0.21215,0.00000,0.66724,-0.21215,0.00000,0.66724
4.980,0.21134,0.00000,0.66676,-0.21134,0.00000,0.66676
5.000,0.21053,0.00000,0.66630,-0.21053,0.00000,0.66630
5.020,0.20972,0.00000,0.66585,-0.20972,0.00000,0.66585
5.040,0.20890,0.00000,0.66542,-0.20890,0.00000,0.66542
5.060,0.20808,0.00000,0.66501,-0.20808,0.00000,0.66501
5.080,0.20725,0.00000,0.66461,-0.20725,0.00000,0.66461
5.100,0.20642,0.00000,0.66422,-0.20642,0.00000,0.66422
5.120,0.20559,0.00000,0.66385,-0.20559,0.00000,0.66385
5.140,0.20475,0.00000,0.66350,-0.20475,0.00000,0.66350
5.160,0.20392,0.00000,0.66317,-0.20392,0.00000,0.66317
5.180,0.20307,0.00000,0.66285,-0.20307,0.00000,0.66285
5.200,0.20223,0.00000,0.66255,-0.20223,0.00000,0.66255
5.220,0.20138,0.00000,0.66226,-0.20138,0.00000,0.66226
5.240,0.20053,0.00000,0.66199,-0.20053,0.00000,0.66199
5.260,0.19968,0.00000,0.66174,-0.19968,0.00000,0.66174
5.280,0.19883,0.00000,0.66150,-0.19883,0.00000,0.66150
5.300,0.19797,0.00000,0.66129,-0.19797,0.00000,0.66129
5.320,0.19711,0.00000,0.66108,-0.19711,0.00000,0.66108
5.340,0.19625,0.00000,0.66090,-0.19625,0.00000,0.66090
5.360,0.19539,0.00000,0.66073,-0.19539,0.00000,0.66073
5.380,0.19453,0.00000,0.66058,-0.19453,0.00000,0.66058
5.400,0.19366,0.00000,0.66045,-0.19366,0.00000,0.66045
5.420,0.19279,0.00000,0.66033,-0.19279,0.00000,0.66033
5.440,0.19192,0.00000,0.66023,-0.19192,0.00000,0.66023
5.460,0.19105,0.00000,0.66015,-0.19105,0.00000,0.66015
5.480,0.19018,0.00000,0.66009,-0.19018,0.00000,0.66009
5.500,0.18931,0.00000,0.66004,-0.18931,0.00000,0.66004
5.520,0.18843,0.00000,0.66001,-0.18843,0.00000,0.66001
5.540,0.18756,0.00000,0.66000,-0.18756,0.00000,0.66000
5.560,0.18668,0.00000,0.66001,-0.18668,0.00000,0.66001
5.580,0.18580,0.00000,0.66003,-0.18580,0.00000,0.66003
5.600,0.18492,0.00000,0.66007,-0.18492,0.00000,0.66007
5.620,0.18405,0.00000,0.66013,-0.18405,0.00000,0.66013
5.640,0.18317,0.00000,0.66020,-0.18317,0.00000,0.66020
5.660,0.18229,0.00000,0.66029,-0.18229,0.00000,0.66029
5.680,0.18141,0.00000,0.66040,-0.18141,0.00000,0.66040
5.700,0.18053,0.00000,0.66053,-0.18053,0.00000,0.66053
5.720,0.17965,0.00000,0.66067,-0.17965,0.00000,0.66067
5.740,0.17877,0.00000,0.66083,-0.17877,0.00000,0.66083
5.760,0.17789,0.00000,0.66101,-0.17789,0.00000,0.66101
5.780,0.17701,0.00000,0.66120,-0.17701,0.00000,0.66120
5.800,0.17613,0.00000,0.66142,-0.17613,0.00000,0.66142
5.820,0.17525,0.00000,0.66164,-0.17525,0.00000,0.66164
5.840,0.17437,0.00000,0.66189,-0.17437,0.00000,0.66189
5.860,0.17349,0.00000,0.66215,-0.17349,0.00000,0.66215
5.880,0.17262,0.00000,0.66243,-0.17262,0.00000,0.66243
5.900,0.17174,0.00000,0.66273,-0.17174,0.00000,0.66273
5.920,0.17087,0.00000,0.66304,-0.17087,0.00000,0.66304
5.940,0.16999,0.00000,0.66337,-0.16999,0.00000,0.66337
5.960,0.16912,0.00000,0.66371,-0.16912,0.00000,0.66371
5.980,0.16825,0.00000,0.66407,-0.16825,0.00000,0.66407
6.000,0.16738,0.00000,0.66445,-0.16738,0.00000,0.66445
6.020,0.16651,0.00000,0.66484,-0.16651,0.00000,0.66484
6.040,0.16565,0.00000,0.66525,-0.16565,0.00000,0.66525
6.060,0.16478,0.00000,0.66568,-0.16478,0.00000,0.66568
6.080,0.16392,0.00000,0.66612,-0.16392,0.00000,0.66612
6.100,0.16306,0.00000,0.66658,-0.16306,0.00000,0.66658
6.120,0.16220,0.00000,0.66705,-0.16220,0.00000,0.66705
6.140,0.16134,0.00000,0.66754,-0.16134,0.00000,0.66754
6.160,0.16049,0.00000,0.66804,-0.16049,0.00000,0.66804
6.180,0.15963,0.00000,0.66856,-0.15963,0.00000,0.66856
6.200,0.15878,0.00000,0.66909,-0.15878,0.00000,0.66909
6.220,0.15794,0.00000,0.66964,-0.15794,0.00000,0.66964
6.240,0.15709,0.00000,0.67020,-0.15709,0.00000,0.67020
6.260,0.15625,0.00000,0.67077,-0.15625,0.00000,0.67077
6.280,0.15541,0.00000,0.67136,-0.15541,0.00000,0.67136
6.300,0.15458,0.00000,0.67197,-0.15458,0.00000,0.67197
6.320,0.15374,0.00000,0.67259,-0.15374,0.00000,0.67259
6.340,0.15291,0.00000,0.67322,-0.15291,0.00000,0.67322
6.360,0.15209,0.00000,0.67386,-0.15209,0.00000,0.67386
6.380,0.15126,0.00000,0.67452,-0.15126,0.00000,0.67452
6.400,0.15044,0.00000,0.67519,-0.15044,0.00000,0.67519
6.420,0.14963,0.00000,0.67588,-0.14963,0.00000,0.67588
6.440,0.14882,0.00000,0.67658,-0.14882,0.00000,0.67658
6.460,0.14801,0.00000,0.67729,-0.14801,0.00000,0.67729
6.480,0.14720,0.00000,0.67801,-0.14720,0.00000,0.67801
6.500,0.14640,0.00000,0.67874,-0.14640,0.00000,0.67874
6.520,0.14561,0.00000,0.67949,-0.14561,0.00000,0.67949
6.540,0.14481,0.00000,0.68025,-0.14481,0.00000,0.68025
6.560,0.14403,0.00000,0.68102,-0.14403,0.00000,0.68102
6.580,0.14324,0.00000,0.68180,-0.14324,0.00000,0.68180
6.600,0.14246,0.00000,0.68259,-0.14246,0.00000,0.68259
6.620,0.14169,0.00000,0.68339,-0.14169,0.00000,0.68339
6.640,0.14092,0.00000,0.68421,-0.14092,0.00000,0.68421
6.660,0.14015,0.00000,0.68503,-0.14015,0.00000,0.68503
6.680,0.13939,0.00000,0.68587,-0.13939,0.00000,0.68587
6.700,0.13864,0.00000,0.68671,-0.13864,0.00000,0.68671
6.720,0.13788,0.00000,0.68756,-0.13788,0.00000,0.68756
6.740,0.13714,0.00000,0.68842,-0.13714,0.00000,0.68842
6.760,0.13640,0.00000,0.68930,-0.13640,0.00000,0.68930
6.780,0.13566,0.00000,0.69018,-0.13566,0.00000,0.69018
6.800,0.13493,0.00000,0.69107,-0.13493,0.00000,0.69107
6.820,0.13421,0.00000,0.69196,-0.13421,0.00000,0.69196
6.840,0.13349,0.00000,0.69287,-0.13349,0.00000,0.69287
6.860,0.13278,0.00000,0.69378,-0.13278,0.00000,0.69378
6.880,0.13207,0.00000,0.69471,-0.13207,0.00000,0.69471
6.900,0.13137,0.00000,0.69563,-0.13137,0.00000,0.69563
6.920,0.13067,0.00000,0.69657,-0.13067,0.00000,0.69657
6.940,0.12998,0.00000,0.69751,-0.12998,0.00000,0.69751
6.960,0.12930,0.00000,0.69846,-0.12930,0.00000,0.69846
6.980,0.12862,0.00000,0.69942,-0.12862,0.00000,0.69942
7.000,0.12795,0.00000,0.70038,-0.12795,0.00000,0.70038
7.020,0.12728,0.00000,0.70134,-0.12728,0.00000,0.70134
7.040,0.12663,0.00000,0.70232,-0.12663,0.00000,0.70232
7.060,0.12597,0.00000,0.70329,-0.12597,0.00000,0.70329
7.080,0.12533,0.00000,0.70427,-0.12533,0.00000,0.70427
7.100,0.12469,0.00000,0.70526,-0.12469,0.00000,0.70526
7.120,0.12406,0.00000,0.70625,-0.12406,0.00000,0.70625
7.140,0.12343,0.00000,0.70725,-0.12343,0.00000,0.70725
7.160,0.12281,0.00000,0.70825,-0.12281,0.00000,0.70825
7.180,0.12220,0.00000,0.70925,-0.12220,0.00000,0.70925
7.200,0.12160,0.00000,0.71025,-0.12160,0.00000,0.71025
7.220,0.12100,0.00000,0.71126,-0.12100,0.00000,0.71126
7.240,0.12041,0.00000,0.71227,-0.12041,0.00000,0.71227
7.260,0.11982,0.00000,0.71328,-0.11982,0.00000,0.71328
7.280,0.11925,0.00000,0.71430,-0.11925,0.00000,0.71430
7.300,0.11868,0.00000,0.71531,-0.11868,0.00000,0.71531
7.320,0.11812,0.00000,0.71633,-0.11812,0.00000,0.71633
7.340,0.11756,0.00000,0.71735,-0.11756,0.00000,0.71735
7.360,0.11702,0.00000,0.71837,-0.11702,0.00000,0.71837
7.380,0.11648,0.00000,0.71939,-0.11648,0.00000,0.71939
7.400,0.11595,0.00000,0.72041,-0.11595,0.00000,0.72041
7.420,0.11542,0.00000,0.72143,-0.11542,0.00000,0.72143
7.440,0.11491,0.00000,0.72245,-0.11491,0.00000,0.72245
7.460,0.11440,0.00000,0.72347,-0.11440,0.00000,0.72347
7.480,0.11390,0.00000,0.72448,-0.11390,0.00000,0.72448
7.500,0.11341,0.00000,0.72550,-0.11341,0.00000,0.72550
7.520,0.11293,0.00000,0.72652,-0.11293,0.00000,0.72652
7.540,0.11245,0.00000,0.72753,-0.11245,0.00000,0.72753
7.560,0.11198,0.00000,0.72854,-0.11198,0.00000,0.72854
7.580,0.11152,0.00000,0.72955,-0.11152,0.00000,0.72955
7.600,0.11107,0.00000,0.73055,-0.11107,0.00000,0.73055
7.620,0.11063,0.00000,0.73156,-0.11063,0.00000,0.73156
7.640,0.11020,0.00000,0.73256,-0.11020,0.00000,0.73256
7.660,0.10977,0.00000,0.73355,-0.10977,0.00000,0.73355
7.680,0.10935,0.00000,0.73454,-0.10935,0.00000,0.73454
7.700,0.10894,0.00000,0.73553,-0.10894,0.00000,0.73553
7.720,0.10854,0.00000,0.73651,-0.10854,0.00000,0.73651
7.740,0.10815,0.00000,0.73749,-0.10815,0.00000,0.73749
7.760,0.10777,0.00000,0.73846,-0.10777,0.00000,0.73846
7.780,0.10740,0.00000,0.73943,-0.10740,0.00000,0.73943
7.800,0.10703,0.00000,0.74039,-0.10703,0.00000,0.74039
7.820,0.10667,0.00000,0.74135,-0.10667,0.00000,0.74135
7.840,0.10633,0.00000,0.74230,-0.10633,0.00000,0.74230
7.860,0.10599,0.00000,0.74324,-0.10599,0.00000,0.74324
7.880,0.10566,0.00000,0.74418,-0.10566,0.00000,0.74418
7.900,0.10534,0.00000,0.74511,-0.10534,0.00000,0.74511
7.920,0.10503,0.00000,0.74603,-0.10503,0.00000,0.74603
7.940,0.10472,0.00000,0.74695,-0.10472,0.00000,0.74695
